Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
False	-0.00003240	1	0.018				Male		
False	0.00003060	1	0.018				Male		
True	-0.00002880	2	0.018				Male		
False	0.00002700	2	0.018				Male		
False	-0.00002520	2	0.018				Male		
False	0.00002340	2	0.018				Male		
True	-0.00002160	3	0.018				Male		
False	0.00001980	3	0.018				Male		
False	-0.00003600	0	0.018				Male		
False	0.00003420	0	0.018				Male		
True	-0.00003240	1	0.018				Male		
False	0.00003060	1	0.018				Male		
True	-0.00002880	2	0.018				Male		
False	0.00002700	2	0.018				Male		
True	-0.00002520	3	0.018				Male		
True	0.00002340	4	0.018				Male		
True	-0.00002160	5	0.018				Male		
False	0.00001980	5	0.018				Male		
False	-0.0001000000	0	0.05				Male		
True	0.0000950000	1	0.05				Male		
False	-0.0000900000	1	0.05				Male		
True	0.0000850000	2	0.05				Male		
False	-0.0000800000	2	0.05				Male		
True	0.0000750000	3	0.05				Male		
False	-0.0000700000	3	0.05				Male		
True	0.0000650000	4	0.05				Male		
True	-0.0000600000	5	0.05				Male		
True	0.0000550000	6	0.05				Male		
True	-0.0001000000	1	0.05				Male		
True	0.0000950000	2	0.05				Male		
True	-0.0000900000	3	0.05				Male		
True	0.0000850000	4	0.05				Male		
True	-0.0000800000	5	0.05				Male		
True	0.0000750000	6	0.05				Male		
True	-0.0000700000	7	0.05				Male		
True	0.0000650000	8	0.05				Male		
True	-0.0000600000	9	0.05				Male		
True	0.0000550000	10	0.05				Male		
False	-0.0000600000	0	0.03				Male		
False	0.0000570000	0	0.03				Male		
True	-0.0000540000	1	0.03				Male		
False	0.0000510000	1	0.03				Male		
False	-0.0000480000	1	0.03				Male		
True	0.0000450000	2	0.03				Male		
True	-0.0000420000	3	0.03				Male		
False	0.0000390000	3	0.03				Male		
True	-0.0000360000	4	0.03				Male		
False	0.0000330000	4	0.03				Male		
False	-0.0000600000	0	0.03				Male		
False	0.0000570000	0	0.03				Male		
False	-0.0000540000	0	0.03				Male		
True	0.0000510000	1	0.03				Male		
False	-0.0000480000	1	0.03				Male		
True	0.0000450000	2	0.03				Male		
True	-0.0000420000	3	0.03				Male		
True	0.0000390000	4	0.03				Male		
False	-0.0000360000	4	0.03				Male		
True	0.0000330000	5	0.03				Male		
False	-0.0000600000	0	0.03				Male		
True	0.0000570000	1	0.03				Male		
True	-0.0000540000	2	0.03				Male		
False	0.0000510000	2	0.03				Male		
False	-0.0000480000	2	0.03				Male		
True	0.0000450000	3	0.03				Male		
False	-0.0000420000	3	0.03				Male		
False	0.0000390000	3	0.03				Male		
False	-0.0000360000	3	0.03				Male		
False	0.0000330000	3	0.03				Male		
False	0.0001	0	0.05				Male		
True	-9.5E-05	1	0.05				Male		
False	8.999999E-05	1	0.05				Male		
False	-8.499999E-05	1	0.05				Male		
True	7.999999E-05	2	0.05				Male		
False	-7.499999E-05	2	0.05				Male		
False	6.999999E-05	2	0.05				Male		
False	-6.499999E-05	2	0.05				Male		
False	5.999999E-05	2	0.05				Male		
False	-5.499999E-05	2	0.05				Male		
False	0.0001	0	0.05				Male		
False	-9.5E-05	0	0.05				Male		
False	8.999999E-05	0	0.05				Male		
False	-8.499999E-05	0	0.05				Male		
True	7.999999E-05	1	0.05				Male		
False	-7.499999E-05	1	0.05				Male		
False	6.999999E-05	1	0.05				Male		
True	-6.499999E-05	2	0.05				Male		
False	5.999999E-05	2	0.05				Male		
True	-5.499999E-05	3	0.05				Male		
True	0.0001	1	0.05				Male		
False	-9.5E-05	1	0.05				Male		
True	8.999999E-05	2	0.05				Male		
False	-8.499999E-05	2	0.05				Male		
False	7.999999E-05	2	0.05				Male		
False	-7.499999E-05	2	0.05				Male		
False	6.999999E-05	2	0.05				Male		
False	-6.499999E-05	2	0.05				Male		
False	5.999999E-05	2	0.05				Male		
False	-5.499999E-05	2	0.05				Male		
False	0.0001	0	0.05				Male		
False	-9.5E-05	0	0.05				Male		
True	8.999999E-05	1	0.05				Male		
True	-8.499999E-05	2	0.05				Male		
True	7.999999E-05	3	0.05				Male		
False	-7.499999E-05	3	0.05				Male		
False	6.999999E-05	3	0.05				Male		
False	-6.499999E-05	3	0.05				Male		
False	5.999999E-05	3	0.05				Male		
False	-5.499999E-05	3	0.05				Male		
True	-0.0001	1	0.05	1	1	1	Male	1	1
True	9.5E-05	2	0.05	1	1	1	Male	1	1
True	-8.999999E-05	3	0.05	1	1	1	Male	1	1
False	8.499999E-05	3	0.05	1	1	1	Male	1	1
False	-7.999999E-05	3	0.05	1	1	1	Male	1	1
False	7.499999E-05	3	0.05	1	1	1	Male	1	1
True	-6.999999E-05	4	0.05	1	1	1	Male	1	1
True	6.499999E-05	5	0.05	1	1	1	Male	1	1
False	-5.999999E-05	5	0.05	1	1	1	Male	1	1
True	5.499999E-05	6	0.05	1	1	1	Male	1	1
False	-0.0001	0	0.05	1	1	1	Male	1	1
True	9.5E-05	1	0.05	1	1	1	Male	1	1
False	-8.999999E-05	1	0.05	1	1	1	Male	1	1
True	8.499999E-05	2	0.05	1	1	1	Male	1	1
False	-7.999999E-05	2	0.05	1	1	1	Male	1	1
False	7.499999E-05	2	0.05	1	1	1	Male	1	1
False	-6.999999E-05	2	0.05	1	1	1	Male	1	1
False	6.499999E-05	2	0.05	1	1	1	Male	1	1
False	-5.999999E-05	2	0.05	1	1	1	Male	1	1
False	5.499999E-05	2	0.05	1	1	1	Male	1	1
False	-0.0001	0	0.05	1	1	1	Male	1	1
False	9.5E-05	0	0.05	1	1	1	Male	1	1
False	-8.999999E-05	0	0.05	1	1	1	Male	1	1
False	8.499999E-05	0	0.05	1	1	1	Male	1	1
True	-7.999999E-05	1	0.05	1	1	1	Male	1	1
True	7.499999E-05	2	0.05	1	1	1	Male	1	1
False	-6.999999E-05	2	0.05	1	1	1	Male	1	1
False	6.499999E-05	2	0.05	1	1	1	Male	1	1
True	-5.999999E-05	3	0.05	1	1	1	Male	1	1
True	5.499999E-05	4	0.05	1	1	1	Male	1	1
False	-0.0001	0	0.05	1	1	1	Male	1	1
False	9.5E-05	0	0.05	1	1	1	Male	1	1
True	-8.999999E-05	1	0.05	1	1	1	Male	1	1
False	8.499999E-05	1	0.05	1	1	1	Male	1	1
True	-7.999999E-05	2	0.05	1	1	1	Male	1	1
True	-0.0001	1	0.05				Male		
